Date,Close,High,Low,Open,Volume
2021-06-01,46.881072998046875,47.00890853157014,46.719150806444375,46.9577736679623,10035300
2021-06-02,46.991859436035156,47.000383538048304,46.7021017364433,46.804368203654434,8016400
2021-06-03,46.46348571777344,46.650976977681836,46.36121923554743,46.54018639219116,8433000
2021-06-04,46.881072998046875,46.881072998046875,46.719150806444375,46.77880652182385,7317400
2021-06-07,46.6935920715332,46.71063702865048,46.454965922884455,46.65950215729865,24666100
2021-06-08,46.4975700378418,46.557225749549865,46.36121366093872,46.50609088908904,7113900
2021-06-09,46.46348571777344,46.62540791888069,46.420874954428676,46.49757562884639,8168100
2021-06-10,46.78733444213867,46.864035118312394,46.59984317793782,46.65097804571794,6263600
2021-06-11,46.58280563354492,46.778817781399084,46.48905998652914,46.744727864121806,7187200
2021-06-14,46.770286560058594,46.87255303822767,46.616885217308614,46.7106308435439,6120900
2021-06-15,46.45496368408203,46.6509790559876,46.35269719730004,46.64245495234318,6168100
2021-06-16,45.824310302734375,46.41234658522631,45.636819060059025,46.318600963888635,7464200
2021-06-17,46.0885124206543,46.25895549611773,45.95215275869431,46.04589840079517,6889700
2021-06-18,45.730567932128906,45.986235757864954,45.679433066584586,45.89249012986342,6643100
2021-06-21,45.95330810546875,45.95330810546875,45.49925893548961,45.73913347539625,8283400
2021-06-22,45.75627136230469,45.78197127411834,45.413590620575796,45.550662263658204,6060600
2021-06-23,46.021846771240234,46.30455559101892,45.98757804519264,46.05611222924224,9520000
2021-06-24,46.36452865600586,46.415931749986925,46.20175709380133,46.313128830070696,7323200
2021-06-25,46.74147415161133,46.818577151976854,46.57013378768287,46.775739609960524,4814100
2021-06-28,46.852848052978516,46.90425114854197,46.715776399521964,46.76717949508542,7693600
2021-06-29,46.818572998046875,46.818572998046875,46.39878930706931,46.527295385625486,6154100
2021-06-30,46.52729797363281,46.630100881368804,46.4244917978513,46.46732933844969,8876600
2021-07-01,46.27885437011719,46.61296626950686,46.038979830667266,46.527297724859174,13517900
2021-07-02,46.22745132446289,46.22745132446289,45.93617369713266,46.133213964437594,9074600
2021-07-06,45.39645767211914,45.7134352210529,45.2422516714388,45.68773531028805,8443800
2021-07-07,45.439292907714844,45.713436188493716,45.250818176662236,45.66203309783054,8505200
2021-07-08,44.57402420043945,44.72823019980965,44.41125265356895,44.56545865293915,9691400
2021-07-09,45.38788986206055,45.396458677869084,45.00237485181868,45.12231212877266,5764300
2021-07-12,45.41358947753906,45.42215829329177,45.13088065056725,45.25081792673988,5978100
2021-07-13,45.439292907714844,45.687736277184975,45.42215854416045,45.439292907714844,8827900
2021-07-14,45.66202926635742,45.89333825286417,45.5592263617029,45.89333825286417,5652100
2021-07-15,45.704864501953125,45.936173493340256,45.59349604791321,45.790536314343996,9812900
2021-07-16,45.39645767211914,45.81623813215791,45.302220308587195,45.807672584584836,7143600
2021-07-19,44.728233337402344,44.805336342496055,44.50549313826818,44.805336342496055,11160800
2021-07-20,44.76249313354492,44.890999205739675,44.33414391695598,44.47978108193454,6426700
