Date,Close,High,Low,Open,Volume
2021-06-01,359.26495361328125,361.86286545361526,358.8459539076741,361.7511321987867,4389000
2021-06-02,359.8702392578125,360.577892709611,358.9297702925985,359.84230594282565,3209200
2021-06-03,358.5013732910156,359.5256135656652,356.35042324803135,357.7192122223293,3391000
2021-06-04,361.75115966796875,362.030492826251,360.1309705171422,360.1775165713911,2628100
2021-06-07,361.4438781738281,361.928065100195,360.5872091633709,361.7697573728172,2500600
2021-06-08,361.4997253417969,362.29117868689764,359.8329618793207,362.2166993239252,2386600
2021-06-09,360.9316711425781,362.3377140583567,360.7361379715298,362.29113959718126,2968100
2021-06-10,362.5984802246094,363.4830541020072,360.89446284107504,362.0863315853231,2611800
2021-06-11,363.2315979003906,363.3340389789046,361.9652499883532,363.14779797236355,2241500
2021-06-14,364.1441955566406,364.1441955566406,362.2167116336686,363.3433931914147,2252200
2021-06-15,363.3805847167969,364.2651868725409,362.59842363948064,364.2186124127508,2405000
2021-06-16,361.387939453125,363.6878768041005,359.4418429894365,363.53891808813853,4194300
2021-06-17,361.2576599121094,362.13294171540764,358.95772213814814,360.9317522761757,4065300
2021-06-18,356.4621887207031,358.8459260264786,356.18282718894477,358.2965519553278,5211100
2021-06-21,361.4531555175781,361.63939655198885,357.2350546773444,358.02653644900164,4389800
2021-06-22,363.37127685546875,364.1627585357135,360.792006483488,361.50898039201695,2705400
2021-06-23,362.9802551269531,364.2093777638419,362.8685218720346,363.47376261377167,2404200
2021-06-24,365.05670166015625,365.4943425242002,364.70288915459093,364.9077429295986,2987800
2021-06-25,366.4068603515625,366.7979551453659,365.5129659296578,365.8481656817253,2862800
2021-06-28,367.1703796386719,367.2914334561057,365.7829494423788,366.90033869334934,2418500
2021-06-29,367.33209228515625,368.06085050295616,366.8649388503414,367.50961287140854,2927600
2021-06-30,367.6684265136719,368.2383685268272,366.92099242828226,366.92099242828226,3795900
2021-07-01,369.74249267578125,369.8452812306247,368.31300468768814,368.39708886195535,3414500
2021-07-02,372.5547790527344,372.8350596444033,370.4806171360551,370.77960210901955,4363100
2021-07-06,371.8540954589844,372.7790500396797,369.3314557680954,372.5735014092163,4331300
2021-07-07,373.134033203125,373.40499010863397,370.6207460945288,372.4800356716446,4747800
2021-07-08,370.1629638671875,370.80763775399083,367.20119916167226,368.3037027079361,5817100
2021-07-09,374.068359375,374.3299641038157,371.31217178797306,371.5083682063906,3332200
2021-07-12,375.4231262207031,375.61932264474393,373.60121674484793,374.0029617840479,2929200
2021-07-13,374.15240478515625,376.05839819061833,373.89080008344763,374.73167030231286,4313100
2021-07-14,374.6662902832031,376.1238062650879,373.55446317342546,375.6473007858192,3332200
2021-07-15,373.4610900878906,374.0777359558998,371.67656079852594,373.479765958032,4483900
2021-07-16,370.55535888671875,374.5448666608437,370.11626211912636,374.5074864100441,4516600
2021-07-19,365.01495361328125,366.491174242875,362.44561005524156,366.042696739053,12336200
2021-07-20,370.1722717285156,371.3868588555123,364.3889118215425,365.6408791946421,4043100
2021-07-21,373.28350830078125,373.3675924717939,371.17196629721684,371.3681912090205,2996600
2021-07-22,374.07769775390625,374.24586610634066,372.50806943896674,373.4516997583659,2575700
2021-07-23,377.8149719238281,378.16066086275737,375.1988958898708,375.75016196915635,3151900
2021-07-26,378.7773132324219,378.7866654242654,377.29176888108526,377.38520526118026,2374300
2021-07-27,377.09552001953125,377.8803627523428,374.4701204281695,377.8803627523428,3626100
2021-07-28,376.8899841308594,378.169979716338,375.6286644143215,377.61874219842707,3763700
2021-07-29,378.51568603515625,379.44999275515505,377.78692793406833,377.79625161257906,2274200
2021-07-30,376.665771484375,377.9551193988146,376.0304497190158,376.1425619702227,5204500
2021-08-02,375.8995666503906,378.7305145441647,375.53520189836325,378.18862925484007,5814700
2021-08-03,378.9361572265625,379.01091774123705,374.58231242496987,376.6003901166693,4129600
2021-08-04,377.1236572265625,378.26348429170736,376.843348044117,377.74962689306716,3880200
2021-08-05,379.4779968261719,379.50602488548884,377.81493211022183,378.1139170847868,3052800
2021-08-06,380.1319580078125,380.4309429537688,379.4873127052066,379.7395652149219,2486900
2021-08-09,379.7676696777344,380.309555052626,379.0389115458293,380.02927442988545,1984400
2021-08-10,380.24420166015625,380.88887565001687,379.543471541854,380.1787933393805,2400700
2021-08-11,381.1598205566406,381.2626091384093,380.17880975377443,381.19720081480943,3554400
2021-08-12,382.2715759277344,382.4397442886112,380.23479418970834,381.02896057755225,2319300
2021-08-13,383.0284118652344,383.0284118652344,382.2996536939052,382.72945535573143,2253800
2021-08-16,383.94403076171875,384.0094390794384,380.40300007910434,381.86051637604925,3379100
2021-08-17,381.4120178222656,382.178127613245,378.68382983126173,381.5801861778872,5186300
2021-08-18,377.31036376953125,381.8978124736219,377.0300832021831,380.46832455459855,4878300
2021-08-19,377.84295654296875,378.90805129956595,374.5915591295288,374.7410516153764,5505700
2021-08-20,380.8327941894531,381.12245553919627,377.7028891117876,378.09528201415645,3263600
2021-08-23,384.20556640625,385.00905640702166,382.3463053711074,382.36498123876197,3259400
2021-08-24,384.8128356933594,385.2706367805647,384.3270065500552,384.8408637494582,3006500
2021-08-25,385.5229797363281,386.0648650788892,384.62605328429214,384.9904180721158,3261400
2021-08-26,383.27130126953125,385.55101193218974,383.2526253998557,385.3174352537434,4707600
2021-08-27,386.6721496582031,387.1112749391768,384.01872210332425,384.0841304141193,3882200
2021-08-30,388.4473876953125,389.1948216982654,387.16739199604643,387.41964455666766,2811800
2021-08-31,387.7840576171875,388.69033642774247,387.34493224479934,388.35399963839825,6062900
2021-09-01,388.1951599121094,389.2229031918396,387.88685118458204,388.71836948855685,3256400
2021-09-02,389.35369873046875,390.0170486016417,388.2044910555224,389.419078539392,2835500
2021-09-03,389.2041931152344,389.6619943261983,387.8868170969132,388.2792099883734,3740000
2021-09-07,387.76531982421875,388.9425554245037,387.1954064067973,388.92385104178265,3542500
2021-09-08,387.3916320800781,387.9802499246553,385.560398740223,387.298195697755,4012600
2021-09-09,385.6537780761719,388.73700738803154,385.4669338381304,387.12064648305153,3887800
2021-09-10,382.6733093261719,387.83070033847866,382.5238453517882,387.4476311862764,4035500
2021-09-13,383.5703125,385.59774224044935,381.4867981211311,385.4202216716642,4738300
2021-09-14,381.5802001953125,385.10252616595943,380.72062549148694,384.9530336734342,3657700
2021-09-15,384.7662048339844,385.1773020766792,380.91686566400386,381.9352565793411,3891400
2021-09-16,384.1028137207031,385.1118809237794,381.4120343756477,384.2523062142247,3351500
2021-09-17,380.3375549316406,383.79450109077015,380.0479221386775,383.39275605701835,5396100
2021-09-20,374.12445068359375,376.18928916133524,369.5837334964678,374.7597724400774,10942700
2021-09-21,373.76007080078125,377.36648107843723,373.1994810624033,376.20794986182705,6418100
2021-09-22,377.36651611328125,379.18842580396165,374.8999609533124,375.75018357477785,6004800
2021-09-23,381.92596435546875,383.3648049308182,378.8334108710633,379.0576353976382,4098000
2021-09-24,382.5613098144531,383.18730800684415,380.2162187951142,380.4217674614292,3417700
2021-09-27,381.4773254394531,382.66391292052543,380.81397582038477,381.5894661680925,3546600
2021-09-28,373.853515625,379.20707503991355,373.0967009277799,378.90809003765116,8234300
2021-09-29,374.4421691894531,376.6262593913068,373.8797409319725,375.04210029244297,4724200
2021-09-30,369.6990051269531,376.3730800561324,369.6427651724262,375.7450576951538,9511200
2021-10-01,374.1234436035156,375.7451054485629,368.1711330718093,371.41445676190386,8482200
2021-10-04,369.5209045410156,373.95467835711156,367.4118204151963,373.18602749908246,8820400
2021-10-05,373.1111145019531,375.2764389544734,370.0646591303834,370.7864244124604,5523200
2021-10-06,374.7702331542969,374.967073020885,368.44297998594465,369.93339618840196,6590000
2021-10-07,377.9947509765625,380.61937760654547,377.61980840174846,377.8260311088389,4409200
2021-10-08,377.2823181152344,379.06334530300524,376.76677568063747,378.7352598417694,3960900
2021-10-11,374.5359191894531,379.39149364653787,374.5359191894531,376.7387465532008,3695700
2021-10-12,373.78594970703125,375.8106738529825,372.95167605252186,375.4638226644992,6201300
2021-10-13,374.9858093261719,375.7731973370377,371.90185149556646,374.6108667409432,6492400
2021-10-14,381.2850036621094,381.463106424987,377.96670260347736,378.4166509422667,3785200
2021-10-15,384.2564392089844,384.56578761990136,382.70978297326684,383.30971406941546,3501600
2021-10-18,385.42816162109375,385.6906243300847,382.00676354115495,382.63481463389553,3402700
2021-10-19,388.4277038574219,388.4277038574219,386.3280024887533,386.8904020651569,2838300
2021-10-20,389.93682861328125,390.152434172695,388.68075530715174,388.76511523745705,3208200
2021-10-21,390.89306640625,391.1086434152857,388.95270168718235,389.36514719093464,2579500
2021-10-22,390.49932861328125,391.82102497717904,388.7277125382958,390.4899457505373,3648900
2021-10-25,392.5240478515625,392.889636218192,389.88065515932755,391.4835799273804,2511500
2021-10-26,392.8990173339844,395.12996471159084,392.62717175608276,393.94886819255436,3085300
2021-10-27,391.1929931640625,393.967631681715,391.1461360606137,393.3770834255505,2873500
2021-10-28,395.0174255371094,395.0455455163793,392.52401581879565,392.55213579806554,3643600
2021-10-29,395.72052001953125,396.05795982738607,392.6365616128338,392.89902433215116,4637400
2021-11-01,396.5547180175781,397.04216915699146,394.8955819474588,396.6859636647394,3937300
2021-11-02,398.092041015625,398.3451208547702,396.5172648039214,396.6484818517522,2989200
2021-11-03,400.49169921875,400.8760247034173,397.1546612516211,397.5764895803821,3562900
2021-11-04,402.3664245605469,402.47890448196205,400.76352846780634,401.0541111335579,4287300
2021-11-05,403.7350158691406,405.656643394763,402.41331945579736,404.52240399928957,4942900
2021-11-08,404.22235107421875,405.2628187528024,403.5380602092842,404.83163626849324,3511600
2021-11-09,402.80694580078125,404.70980721273565,401.5133696338428,404.5317044879378,4696000
2021-11-10,399.56365966796875,402.81633727091537,398.2044606562594,401.27903553060185,6350700
2021-11-11,399.6949462890625,401.0260255546636,399.6855920323336,400.9135456235995,3634600
2021-11-12,402.6663513183594,403.22877947756984,400.00422187813336,400.8759697914531,3655500
2021-11-15,402.8538513183594,404.0162105998566,401.80400056574575,403.95997063855856,3122300
2021-11-16,404.3912353515625,405.4973262901461,402.57273328344684,402.61959039195045,3267000
2021-11-17,403.4162902832031,404.3724268633131,402.9194848743122,404.2317983500346,3764900
2021-11-18,404.8128356933594,405.1034468842932,401.94448407263513,404.41915607827605,4732200
2021-11-19,404.0536193847656,405.87212078892753,403.4255970499069,404.8222702063769,4886200
2021-11-22,402.9851379394531,408.14067802874354,402.807035175138,405.81598783567165,4868300
