Date,Close,High,Low,Open,Volume
2021-06-01,44.99638748168945,45.19276600869613,44.9451570262255,45.1842259709171,8252800
2021-06-02,45.12446212768555,45.19276940677356,44.98785082657986,45.03908128589587,7365200
2021-06-03,44.8853874206543,44.94515465367222,44.74877613703192,44.89392745798252,6215600
2021-06-04,45.31230163574219,45.329378454665346,45.15861352250396,45.23545757912308,6039600
2021-06-07,45.414756774902344,45.431833592878945,45.29522230613614,45.38060639601914,10276700
2021-06-08,45.38914489746094,45.46598895273428,45.28668724278652,45.448912134110195,6909800
2021-06-09,45.209842681884766,45.372067571394105,45.19276586345166,45.354990752961,5873300
2021-06-10,45.35499572753906,45.431839790381304,45.22692446084895,45.278151664696814,7050200
2021-06-11,45.431819915771484,45.44889672860717,45.2781318573194,45.41474310293581,4867400
2021-06-14,45.50013732910156,45.5086741088915,45.372062832764364,45.41475324585352,4623500
2021-06-15,45.5086669921875,45.542820620145726,45.41474614383698,45.5086669921875,7736600
2021-06-16,45.209842681884766,45.61967655306895,45.064691353738446,45.57698613552124,7192800
2021-06-17,44.87685775756836,45.039082664763384,44.68047920978372,44.93662500006497,6041500
2021-06-18,44.023033142089844,44.25356531400454,43.9632659038605,44.13402758047565,8868100
2021-06-21,44.62897872924805,44.663408817208634,44.17279155578895,44.250257611983315,6778700
2021-06-22,44.672019958496094,44.749486018119796,44.38797664539784,44.49126363041809,5644600
2021-06-23,44.431007385253906,44.680620579483694,44.370756377465156,44.628975451336046,6192300
2021-06-24,44.8011360168457,44.826960230372926,44.69784901304076,44.766705921099174,7565000
2021-06-25,44.947452545166016,44.947452545166016,44.82695051959194,44.93884338137705,5942400
2021-06-28,44.654808044433594,44.801131009851254,44.568732814687074,44.801131009851254,6246800
2021-06-29,44.64619445800781,44.71505463498516,44.57733756446443,44.69783959074082,7136400
2021-06-30,44.34493637084961,44.44822334584415,44.1813983868221,44.30190040488802,9424200
2021-07-01,44.47405242919922,44.48266159403146,44.250263395076104,44.327729461394554,8125000
2021-07-02,44.63758850097656,44.646194381366975,44.37076024079833,44.517086474907025,7998700
2021-07-06,44.37076187133789,44.65480518616894,44.17279378074385,44.65480518616894,7103900
2021-07-07,44.52570724487305,44.611782494730875,44.301918162112784,44.51710136160479,8151000
2021-07-08,43.88014221191406,43.97482331173684,43.64774404419465,43.79407027576638,13796500
2021-07-09,44.63758850097656,44.65480354519134,44.29329418354878,44.344939316193134,7099500
2021-07-12,44.8011360168457,44.81835106471897,44.56873779570859,44.6289888215477,4810100
2021-07-13,44.551513671875,44.740875876469715,44.51708686657649,44.663409818538604,5872700
2021-07-14,44.66341018676758,44.79252137886189,44.60315917270597,44.79252137886189,4406700
2021-07-15,44.30189895629883,44.41379180745351,44.13835769418509,44.30189895629883,7503400
2021-07-16,43.95761489868164,44.30190926207581,43.88875799606344,44.30190926207581,5953800
2021-07-19,43.09688186645508,43.2776349279838,42.87309283076728,43.243208118717156,13735600
2021-07-20,43.484222412109375,43.55307933024662,42.96778075062196,43.03664095219434,7918500
2021-07-21,44.11254119873047,44.12975624296644,43.69938998736907,43.716605031605035,12997700
2021-07-22,44.17279052734375,44.31911675605247,44.03507346214169,44.31911675605247,6642400
2021-07-23,44.43962860107422,44.499879625204024,44.31912655281461,44.42241355368934,5845200
2021-07-26,44.49126052856445,44.50847557210663,44.31911666001029,44.31911666001029,5525000
2021-07-27,44.32772445678711,44.336330337213404,44.1125413283561,44.31050941250055,7594500
2021-07-28,44.52570724487305,44.603173328027566,44.250273012198086,44.35356002859243,6511000
2021-07-29,44.86137771606445,44.94745293753586,44.84416267177017,44.878592760358735,8559800
2021-07-30,44.568729400634766,44.766697488735595,44.4826574609158,44.64619545975544,6454500
2021-08-02,44.78391647338867,45.00770878984133,44.723665453597796,44.9302427239053,8113600
2021-08-03,45.10238265991211,45.119594419859276,44.78390928251498,44.97327147627178,8327900
2021-08-04,44.97327423095703,45.222887450119515,44.97327423095703,45.14542139187716,3984800
2021-08-05,45.20567321777344,45.265924232662755,45.15402808353943,45.19706405368407,4226500
2021-08-06,45.02491760253906,45.13681046184013,44.9646665910896,45.102383657750345,4736400
2021-08-09,44.97327423095703,45.04213440869868,44.9302382615855,45.02491936426327,4695800
2021-08-10,45.06797409057617,45.06797409057617,44.93886284529248,44.964687064410434,5559200
2021-08-11,45.35199737548828,45.377821585007055,45.22288946163097,45.317570568520146,5065000
2021-08-12,45.24871063232422,45.27453155854844,45.11959943433481,45.24871063232422,5579600
2021-08-13,45.48109817504883,45.48109817504883,45.308951045827285,45.36059616962377,3832100
2021-08-16,45.2228889465332,45.23149482731868,44.98188159989656,45.12820784072246,8101300
2021-08-17,44.72365188598633,44.84415388901193,44.534293002703244,44.77529700875444,7431900
2021-08-18,44.61177444458008,44.9302446029988,44.59455939771495,44.74949153606664,5289100
2021-08-19,44.12115478515625,44.24166011585502,43.9490108795985,44.01786778513469,11441800
2021-08-20,44.26747512817383,44.293296053869334,43.897359870512425,43.94039584114964,5806100
2021-08-23,44.732269287109375,44.79252029971942,44.52569204142214,44.52569204142214,5915700
2021-08-24,44.947452545166016,44.99909439416408,44.77530538715994,44.81834135580297,4677000
2021-08-25,44.98188781738281,45.00771203017692,44.82695895779096,44.91303091127916,7273400
2021-08-26,44.69784164428711,44.86998881120544,44.62898146414613,44.81834367609971,4918700
2021-08-27,45.16263961791992,45.18846054467507,44.70644911682888,44.715058281370084,5045800
2021-08-30,45.15402603149414,45.20567116338111,45.08516913907875,45.145420151229935,5765000
2021-08-31,45.15402603149414,45.26592217553229,45.08516913907875,45.24010125130576,8926100
2021-09-01,45.549964904785156,45.6704702196974,45.45528708250525,45.48971388904608,6914500
2021-09-02,45.765140533447266,45.82539482273472,45.67906860606558,45.70488952759337,9103400
2021-09-03,45.988948822021484,46.040593966505305,45.782371527520894,45.82541078964144,11074000
2021-09-07,45.877037048339844,46.006148223922544,45.877037048339844,45.971718139309345,8765400
2021-09-08,45.54135513305664,45.773753295380665,45.44667403543198,45.70489312131407,6414000
2021-09-09,45.48971939086914,45.67047574338231,45.420862486025385,45.5069344379387,5085500
2021-09-10,45.3606071472168,45.825403523569015,45.35199798278388,45.7909734327057,6200600
2021-09-13,45.704898834228516,45.80818910823925,45.54996670664665,45.80818910823925,5902300
2021-09-14,45.506927490234375,45.85982769269566,45.47250068478581,45.84261264825438,6409500
2021-09-15,45.68768310546875,45.69628898583871,45.42085484592461,45.49832090299007,7809500
2021-09-16,45.55857467651367,45.5757897217307,45.31757061034362,45.43807264342865,7100200
2021-09-17,44.9904899597168,45.38642613745165,44.852772885572755,45.32617512272826,7350300
2021-09-20,44.135101318359375,44.238785046373835,43.75492215556256,44.00549418630659,16987500
2021-09-21,44.5152702331543,44.7399188247766,44.437506625276235,44.636235112954445,9486100
2021-09-22,44.75719451904297,45.11145017915257,44.71399325240431,44.731274418268846,8370300
2021-09-23,45.30154037475586,45.39658514038782,45.14601317573,45.18057550796806,6789300
2021-09-24,44.88680648803711,44.97320903069452,44.80040064933397,44.843605216708404,4791000
2021-09-27,44.88680648803711,44.94728892710644,44.73127927441718,44.783122777639065,5785600
2021-09-28,43.89316177368164,44.23013631223611,43.754915724632475,44.20421620805371,11391900
2021-09-29,43.75490951538086,44.014120408557744,43.703069314372684,43.95363797668465,11145200
2021-09-30,43.625308990478516,43.92772117253714,43.52162198859077,43.83267640216284,10238600
2021-10-01,43.75490951538086,43.858593213442546,43.34881036190837,43.63394465163467,11817400
2021-10-04,43.348812103271484,43.68578990358802,43.150083633984586,43.633946404451905,12540200
2021-10-05,43.59938430786133,43.73763034359434,43.3315344676542,43.39201690228455,6756900
2021-10-06,43.279693603515625,43.28833253925506,42.726709426912656,42.87359440680284,12693500
2021-10-07,43.64259338378906,43.80676284662361,43.495708386564544,43.495708386564544,7009400
2021-10-08,43.65122985839844,43.78083366896248,43.56482402197677,43.737632398774466,5801100
2021-10-11,43.5216178894043,43.88451576973983,43.51297895475012,43.72034634690305,5570700
2021-10-12,43.504337310791016,43.66850673584194,43.43521594448956,43.538899641964406,6540300
2021-10-13,43.98820495605469,44.02276729107571,43.659869365446305,43.78083424197421,6880900
2021-10-14,44.463417053222656,44.49797938165728,44.32517103552921,44.40293462648459,5690800
2021-10-15,44.81767272949219,44.83495389372875,44.66214554740817,44.713989040117866,4982100
2021-10-18,44.653507232666016,44.688069561618526,44.44613655499604,44.515261212901066,7051200
2021-10-19,44.96458053588867,45.025062989002386,44.8522545675147,44.87817467712158,5152900
2021-10-20,45.120094299316406,45.16329556776393,44.9472859294808,44.99912942924513,5728700
2021-10-21,44.895442962646484,44.981848796612724,44.817679360099646,44.84360275831229,5191900
2021-10-22,45.102813720703125,45.232417527735265,44.92136641323081,45.06825138707634,6568100
2021-10-25,45.068260192871094,45.146023810702665,44.921375190326,45.05097902268116,6111200
2021-10-26,45.1546516418457,45.35338340212807,45.08553027413281,45.336102236188495,5467100
2021-10-27,44.9127197265625,45.19785400663052,44.9127197265625,45.12009041170699,6153700
2021-10-28,45.370670318603516,45.3965937207045,45.10282043324632,45.12874053930127,5770000
2021-10-29,45.033687591552734,45.07688885916103,44.88680262247543,44.98184738884095,9654900
2021-11-01,45.45707702636719,45.48299713291299,45.21514724248343,45.275629688454366,8588800
2021-11-02,45.35338592529297,45.42250729685132,45.29290019311675,45.344743693819694,8353400
2021-11-03,45.66444396972656,45.699006308772425,45.197865576791614,45.28426812836022,7539300
2021-11-04,45.629878997802734,45.63851793341866,45.457070621073335,45.59531666324773,9112600
2021-11-05,45.72492218017578,45.73356441215987,45.55211709304309,45.63851963660944,7741600
2021-11-08,45.750850677490234,45.828614293782415,45.69900716794674,45.750850677490234,5451300
2021-11-09,45.63852310180664,45.79405032887139,45.49163810738216,45.768130223042604,7963000
2021-11-10,45.05961608886719,45.534836678435525,45.00777258424224,45.42251073310438,8018800
2021-11-11,45.21513748168945,45.3188211815361,45.18057514972544,45.28425884957208,5638800
2021-11-12,45.52619171142578,45.54347287859597,45.31882429747474,45.38794567010988,6222600
2021-11-15,45.44843673706055,45.64716854923067,45.41387769220361,45.62124514553017,9023800
2021-11-16,45.34474563598633,45.48299168106984,45.32746446834518,45.42250924234866,6965700
2021-11-17,45.232421875,45.28426538042284,45.15465826488868,45.24106410726007,8688300
2021-11-18,45.26698684692383,45.28426801640404,45.02505706629301,45.206504401766125,7590700
2021-11-19,44.921363830566406,45.085529961786925,44.86952033310686,45.01640529850753,9985200
2021-11-22,44.6794319152832,45.02504864817699,44.67079298018131,44.91272271557969,9573300
